tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031301600,22,0,34,1376,1,4654,1
17031301701,22,0,35,1247,1,4381,1
17031301702,22,0,29,1141,1,4045,1
17031301801,22,0,51,1158,1,4005,1
17031301802,22,0,55,1059,1,3518,1
17031301803,22,0,39,1472,1,5357,1
17031310200,11,1,56,653,0.969,1302,0.975
17031310200,25,1,2,21,0.031,34,0.025
17031310300,11,1,16,226,0.302,388,0.229
17031310300,25,1,31,523,0.698,1309,0.771
17031310400,25,0,22,595,1,1332,1
17031310500,25,0,33,656,1,1700,1
17031310600,25,0,67,2462,1,5868,1
17031310700,25,0,23,713,1,1692,1
17031310800,25,0,38,1641,1,4516,1
17031310900,25,0,42,1872,1,5123,1
17031320100,42,0,103,8649,1,10848,1
17031320400,4,1,6,7,0.007,1593,0.633
17031320400,42,1,39,931,0.993,925,0.367
17031320600,4,1,30,2864,1,4256,1
17031320600,42,1,3,0,0,0,0
17031330100,3,1,80,11681,1,16735,1
17031330100,4,1,57,0,0,0,0
17031330200,25,1,13,0,0,0,0
17031330200,3,1,31,1918,1,3806,1
17031340300,11,0,41,735,1,1786,1
17031340400,11,0,36,755,1,1900,1
17031340500,11,0,43,918,1,1544,1
17031340600,11,1,11,1,0.002,1,0.001
17031340600,3,1,21,449,0.998,906,0.999
17031350100,4,0,25,1661,1,2144,1
17031350400,3,0,11,665,1,389,1
17031351000,4,0,29,2158,1,3267,1
17031351100,4,0,17,848,1,1960,1
17031351400,3,0,36,765,1,1437,1
17031351500,3,0,11,144,1,255,1
17031360200,4,0,16,660,1,1443,1
17031380100,4,0,37,1174,1,1924,1
17031380200,3,0,22,1204,1,1680,1
17031380500,3,0,9,292,1,752,1
17031380700,3,0,18,598,1,1243,1
17031381200,3,1,35,1080,0.927,2009,0.927
17031381200,4,1,2,85,0.073,158,0.073
17031381400,3,0,24,809,1,1612,1
17031381500,3,0,8,290,1,237,1
17031381700,3,0,2,0,0,0,0
17031381800,3,0,23,757,1,1188,1
17031381900,3,1,10,225,0.355,502,0.388
17031381900,4,1,9,409,0.645,793,0.612
17031390100,4,0,19,593,1,1268,1
17031390200,4,0,22,909,1,1840,1
17031390300,4,0,26,1649,1,2743,1
17031390400,4,0,24,1654,1,2934,1
17031390500,4,0,10,847,1,1598,1
17031390600,4,0,18,930,1,1866,1
17031390700,4,1,21,1578,0.423,2331,0.417
17031390700,5,1,21,2151,0.577,3261,0.583
17031400300,20,1,14,0,0,2,0.001
17031400300,3,1,19,665,1,1565,0.999
17031400300,4,1,2,0,0,0,0
17031400400,20,1,25,909,0.992,1922,0.983
17031400400,3,1,4,7,0.008,33,0.017
17031400500,20,1,24,1018,0.998,2252,0.997
17031400500,3,1,3,2,0.002,6,0.003
17031400800,20,0,24,1332,1,2701,1
17031410100,4,1,5,429,0.345,648,0.36
17031410100,5,1,8,813,0.655,1154,0.64
17031410200,4,0,6,736,1,1443,1
17031410500,5,0,21,1463,1,2557,1
17031410600,5,0,23,1220,1,2327,1
17031410700,4,1,6,483,0.408,794,0.369
17031410700,5,1,8,702,0.592,1360,0.631
17031410800,4,1,3,298,0.163,414,0.156
17031410800,5,1,16,1527,0.837,2248,0.844
17031410900,5,0,24,1758,1,2838,1
17031411000,5,0,38,2226,1,3309,1
17031411100,5,0,22,973,1,2132,1
17031411200,5,0,23,837,1,1640,1
17031420100,20,1,8,109,0.139,224,0.155
17031420100,5,1,19,677,0.861,1217,0.845
17031420200,20,0,19,761,1,1723,1
17031420300,20,0,12,730,1,2488,1
17031420400,20,0,17,864,1,1329,1
17031420500,20,0,30,1576,1,2624,1
